player_id,player,birth_year,hof,num_seasons,first_season,last_season
196,Ray Kuka,,False,2,1947-48,1948-49
197,Red Rocha,1923.0,False,9,1947-48,1956-57
198,Saul Mariaschin,,False,1,1947-48,1947-48
199,Sid Tanenbaum,,False,2,1947-48,1948-49
200,Stan Brown,1929.0,False,2,1947-48,1951-52
201,Wat Misaka,,False,1,1947-48,1947-48
202,Al Lucas,,False,1,1948-49,1948-49
203,Andrew Levane,1920.0,False,3,1948-49,1952-53
204,Andy Duncan,1922.0,False,3,1948-49,1950-51
205,Andy Kostecka,,False,1,1948-49,1948-49
206,Andy Tonkovich,,False,1,1948-49,1948-49
207,Arnie Ferrin,1925.0,False,3,1948-49,1950-51
208,Arnie Johnson,1920.0,False,5,1948-49,1952-53
209,Arnie Risen,1924.0,True,10,1948-49,1957-58
210,Bill Calhoun,1927.0,False,7,1948-49,1954-55
211,Bill Henry,1924.0,False,2,1948-49,1949-50
212,Bill Miller,,False,1,1948-49,1948-49
213,Bill Roberts,1925.0,False,2,1948-49,1949-50
214,Blackie Towery,1920.0,False,2,1948-49,1949-50
215,Bob Brown,1923.0,False,2,1948-49,1949-50
216,Bob Davies,1920.0,True,7,1948-49,1954-55
217,Bob Kinney,1920.0,False,2,1948-49,1949-50
218,Bob Tough,1920.0,False,2,1948-49,1949-50
219,Bobby Wanzer,1921.0,True,9,1948-49,1956-57
220,Brady Walker,,False,1,1948-49,1948-49
221,Bruce Hale,1918.0,False,3,1948-49,1950-51
222,Charlie Black,1921.0,False,3,1948-49,1951-52
223,Curly Armstrong,1918.0,False,3,1948-49,1950-51
224,D.C. Wilcutt,1923.0,False,2,1948-49,1949-50
225,Dan Kraus,,False,1,1948-49,1948-49
226,Darrel Brown,,False,1,1948-49,1948-49
227,Dermie O'Connell,1928.0,False,2,1948-49,1949-50
228,Dick Shrider,,False,1,1948-49,1948-49
229,Dick Triptow,1922.0,False,2,1948-49,1949-50
230,Dick Wehr,,False,1,1948-49,1948-49
231,Dillard Crocker,1925.0,False,4,1948-49,1952-53
232,Don Smith,1920.0,False,1,1948-49,1948-49
233,Donnie Forman,,False,1,1948-49,1948-49
234,Doug Holcomb,,False,1,1948-49,1948-49
235,Earl Gardner,,False,1,1948-49,1948-49
236,Easy Parham,1921.0,False,3,1948-49,1950-51
237,Ed Mikan,1925.0,False,6,1948-49,1953-54
238,Fran Curran,1922.0,False,2,1948-49,1949-50
239,Fred Paine,,False,1,1948-49,1948-49
240,Freddie Lewis,1921.0,False,2,1948-49,1949-50
241,Fritz Nagy,,False,1,1948-49,1948-49
242,Gale Bishop,,False,1,1948-49,1948-49
243,Gene James,1925.0,False,3,1948-49,1950-51
244,George Glamack,,False,1,1948-49,1948-49
245,George Kaftan,1928.0,False,5,1948-49,1952-53
246,George Mikan,1924.0,True,7,1948-49,1955-56
247,Hal Tidrick,,False,1,1948-49,1948-49
248,Harry Gallatin,1927.0,True,10,1948-49,1957-58
249,Herb Krautblatt,,False,1,1948-49,1948-49
250,Herm Schaefer,1918.0,False,2,1948-49,1949-50
251,Howie Rader,,False,1,1948-49,1948-49
252,Howie Shannon,1923.0,False,2,1948-49,1949-50
253,Jack Dwan,,False,1,1948-49,1948-49
254,Jack Eskridge,,False,1,1948-49,1948-49
255,Jack Maddox,,False,1,1948-49,1948-49
256,Jack Nichols,1926.0,False,9,1948-49,1957-58
257,Jack Smiley,1922.0,False,2,1948-49,1949-50
258,Jake Bornheimer,1927.0,False,2,1948-49,1949-50
259,Jake Pelkington,,False,1,1948-49,1948-49
260,Jim Browne,1930.0,False,2,1948-49,1949-50
261,Jim Pollard,1922.0,True,7,1948-49,1954-55
262,Jim Springer,,False,1,1948-49,1948-49
263,Jim Spruill,,False,1,1948-49,1948-49
264,Joe Colone,,False,1,1948-49,1948-49
265,Joe Graboski,1930.0,False,13,1948-49,1960-62
266,John Hazen,,False,1,1948-49,1948-49
267,John Mandic,1919.0,False,2,1948-49,1949-50
268,Johnny Bach,,False,1,1948-49,1948-49
269,Kenny Rollins,1923.0,False,3,1948-49,1952-53
270,Leo Katkaveck,1923.0,False,2,1948-49,1949-50
271,Leo Klier,1923.0,False,2,1948-49,1949-50
272,Les Pugh,1922.0,False,2,1948-49,1949-50
273,Lionel Malamed,,False,1,1948-49,1948-49
274,Lonnie Eggleston,,False,1,1948-49,1948-49
275,Matt Zunic,,False,1,1948-49,1948-49
276,Mel McGaha,,False,1,1948-49,1948-49
277,Mike Novak,1915.0,False,3,1948-49,1953-54
278,Odie Spears,1924.0,False,8,1948-49,1956-57
279,Otto Schnellbacher,,False,1,1948-49,1948-49
280,Paul Napolitano,,False,1,1948-49,1948-49
281,Phil Farbman,,False,1,1948-49,1948-49
282,Price Brookfield,1920.0,False,2,1948-49,1949-50
283,Ralph Hamilton,,False,1,1948-49,1948-49
284,Ray Ellefson,1922.0,False,2,1948-49,1950-51
285,Ray Lumpp,1923.0,False,5,1948-49,1952-53
286,Ray Ramsey,,False,1,1948-49,1948-49
